model,fold,feature,importance
XGBoost,3,cum_days_above_above_14_close_sma_ind,0.03885124623775482
XGBoost,3,cum_days_above_above_21_close_sma_ind,0.05185018107295036
XGBoost,3,14_close_sma_std,0.06985516101121902
XGBoost,3,14_close_sma_pct_diff_std,0.03138326480984688
XGBoost,3,14_close_std_std,0.041785769164562225
XGBoost,3,21_close_sma_std,0.03990282863378525
XGBoost,3,21_close_sma_pct_diff_std,0.030484069138765335
XGBoost,3,21_close_std_std,0.05673579126596451
XGBoost,3,7_close_sma_std,0.05447015538811684
XGBoost,3,7_close_sma_pct_diff_std,0.02693430706858635
XGBoost,3,7_close_std_std,0.04129127040505409
XGBoost,3,bol_pct_from_bottom_std,0.044267695397138596
XGBoost,3,bol_pct_from_top_std,0.030634477734565735
XGBoost,3,bol_range_std,0.0
XGBoost,3,bol_range_pct_std,0.030745916068553925
XGBoost,3,lower_bollinger_band_std,0.056883957237005234
XGBoost,3,upper_bollinger_band_std,0.07094328850507736
XGBoost,3,ind_AAPL,0.11739519983530045
XGBoost,3,ind_XLE,0.08656129986047745
XGBoost,3,ind_XLF,0.02699953317642212
XGBoost,4,above_7_close_sma_ind,0.0
XGBoost,4,above_14_close_sma_ind,0.02257062867283821
XGBoost,4,above_21_close_sma_ind,0.009953973814845085
XGBoost,4,cum_days_above_above_7_close_sma_ind,0.027164192870259285
XGBoost,4,cum_days_above_above_14_close_sma_ind,0.043735090643167496
XGBoost,4,cum_days_above_above_21_close_sma_ind,0.041215699166059494
XGBoost,4,14_close_sma_std,0.05404664948582649
XGBoost,4,14_close_sma_pct_diff_std,0.030053934082388878
XGBoost,4,14_close_std_std,0.03858720511198044
XGBoost,4,21_close_sma_std,0.041121650487184525
XGBoost,4,21_close_sma_pct_diff_std,0.02875600755214691
XGBoost,4,21_close_std_std,0.05055424943566322
XGBoost,4,7_close_sma_std,0.06556364893913269
XGBoost,4,7_close_sma_pct_diff_std,0.021934160962700844
XGBoost,4,7_close_std_std,0.03666091337800026
XGBoost,4,bol_pct_from_bottom_std,0.0411769300699234
XGBoost,4,bol_pct_from_top_std,0.031069323420524597
XGBoost,4,bol_range_std,0.0
XGBoost,4,bol_range_pct_std,0.04917135462164879
XGBoost,4,lower_bollinger_band_std,0.05107947811484337
XGBoost,4,upper_bollinger_band_std,0.08363661915063858
XGBoost,4,ind_AAPL,0.08258385211229324
XGBoost,4,ind_XLE,0.07282225042581558
XGBoost,4,ind_XLF,0.07654214650392532
